facility_id,nama,jenis_raw,jenis_std,energy_group,tahun_operasi,regpln,provinsi,longitude,latitude
934,PLTD Muara Muntai,PLTD,PLTD,non_renewable,1994,Kalimantan,Kalimantan Timur,116.47432000000003,-0.6433199999999601
927,PLTD Muara Pahu,PLTD,PLTD,non_renewable,1992,Kalimantan,Kalimantan Timur,116.06414000000008,-0.3254199999999514
921,PLTD Muara Pantuan,PLTD,PLTD,non_renewable,1998,Kalimantan,Kalimantan Timur,117.56876000000013,-0.5802699999999277
937,PLTD Muara Siran,PLTD,PLTD,non_renewable,1994,Kalimantan,Kalimantan Timur,116.63642000000004,-0.1283299999999485
687,PLTD Muara Wahau,PLTD,PLTD,non_renewable,1995,Kalimantan,Kalimantan Timur,116.84300000000007,1.0450000000000728
914,PLTD Muara Wahau Altrak,PLTD,PLTD,non_renewable,1995,Kalimantan,Kalimantan Timur,116.8431700000001,1.045310000000029
913,PLTD Pengadan,PLTD,PLTD,non_renewable,2016,Kalimantan,Kalimantan Timur,117.67290083900002,1.3496804820000534
935,PLTD Penyinggahan,PLTD,PLTD,non_renewable,1992,Kalimantan,Kalimantan Timur,116.2234400000001,-0.3873299999999631
656,PLTD Petung,PLTD,PLTD,non_renewable,1984,Kalimantan,Kalimantan Timur,116.67000000000009,-1.3419999999999277
947,PLTD Samabliung Kaltimex,PLTD,PLTD,non_renewable,1996,Kalimantan,Kalimantan Timur,117.51125276800008,2.1580000000000723
697,PLTD Sambaliung,PLTD,PLTD,non_renewable,1996,Kalimantan,Kalimantan Timur,117.51111000000004,2.1580000000000723
692,PLTD Sangkulirang,PLTD,PLTD,non_renewable,1996,Kalimantan,Kalimantan Timur,117.98000000000002,0.9860000000000468
693,PLTD Sangkulirang Pemkab,PLTD,PLTD,non_renewable,2015,Kalimantan,Kalimantan Timur,117.98015228600002,0.9859904820000338
943,PLTD Sedulang,PLTD,PLTD,non_renewable,1981,Kalimantan,Kalimantan Timur,116.81094000000007,-0.125189999999975
939,PLTD Semayang,PLTD,PLTD,non_renewable,1995,Kalimantan,Kalimantan Timur,116.45181000000002,-0.1827799999999797
695,PLTD Sentawar,PLTD,PLTD,non_renewable,2008,Kalimantan,Kalimantan Timur,115.80100000000004,-0.2419999999999618
358,PLTD Sentawar Mitsubishi 01,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
357,PLTD Sentawar Mitsubishi 02,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
356,PLTD Sentawar Mitsubishi 03,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
353,PLTD Sentawar Mitsubishi 04,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
352,PLTD Sentawar Mitsubishi 05,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
351,PLTD Sentawar Mitsubishi 06,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
350,PLTD Sentawar Mitsubishi 07,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
349,PLTD Sentawar Mitsubishi 08,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
348,PLTD Sentawar Mitsubishi 09,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
347,PLTD Sentawar Mitsubishi 10,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
346,PLTD Sentawar Mitsubishi 11,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
345,PLTD Sentawar Mitsubishi 12,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
