objectid,remark,kode2,id,nama_danau,lokasi,provinsi,luas_ha_,klasifikas,tipe,pot_mw
150,Danau/Situ,6331A,ID-PA.68,Telaga Yaruwi Kecil,"Kec.Wapoga, Kab.Nabire",Papua,34.32,Kecil,-,1.71599996
151,Danau/Situ,6345A,ID-PA.156,Noname 39,"Kec. Mamberamo ilir, Kab. Mamberamo Raya",Papua,31.51,Kecil,-,1.57550001
152,Danau/Situ,6346A,ID-PA.140,Noname 23,"Kec. Mamberamo ilir, Kab. Mamberamo Raya",Papua,139.19,Kecil,-,6.95949984
153,Danau/Situ,6352A,ID-PA.158,Noname 41,"Kec. Mamberamo ilir, Kab. Mamberamo Raya",Papua,23.58,Kecil,-,1.17900002
154,Danau/Situ,6364A,ID-PA.188,Noname 71,"Kec. Sawai, Kab. Mamberamo Raya",Papua,438.84,Kecil,-,21.94199944
155,Danau/Situ,6405A,ID-PA.134,Noname 17,"Kec. Sawai, Kab. Mamberamo Raya",Papua,21.26,Kecil,-,1.06299996
156,Danau/Situ,6418A,ID-PA.136,Noname 19,"Kec. Sawai, Kab. Mamberamo Raya",Papua,296.81,Kecil,-,14.84049988
157,Danau/Situ,6422A,ID-PA.135,Noname 18,"Kec. Sawai, Kab. Mamberamo Raya",Papua,111.94,Kecil,-,5.59700012
158,Danau/Situ,6424A,ID-PA.192,Noname 75,"Kec. Sawai, Kab. Mamberamo Raya",Papua,26.92,Kecil,-,1.34599996
159,Danau/Situ,6435A,ID-PA.137,Noname 20,"Kec. Sawai, Kab. Mamberamo Raya",Papua,25.36,Kecil,-,1.26800001
160,Danau/Situ,6436A,ID-PA.138,Noname 21,"Kec. Sawai, Kab. Mamberamo Raya",Papua,60.52,Kecil,-,3.02600002
161,Danau/Situ,6438A,ID-PA.194,Noname 77,"Kec. Sawai, Kab. Mamberamo Raya",Papua,75.47,Kecil,-,3.77349997
162,Danau/Situ,6444A,ID-PA.193,Noname 76,"Kec. Sawai, Kab. Mamberamo Raya",Papua,131.59,Kecil,-,6.5795002
