objectid,remark,kode2,id,nama_danau,lokasi,provinsi,luas_ha_,klasifikas,tipe,pot_mw
283,Danau/Situ,8524A,ID-KS.729,Noname 707,"Kec. 	Kintap	, 	Kab. 	Tanahlaut",Kalimantan Selatan,23.78,Kecil,Bekas tambang,1.18900001
284,Danau/Situ,8525A,ID-KS.730,Noname 708,"Kec. 	Kintap	, 	Kab. 	Tanahlaut",Kalimantan Selatan,48.23,Kecil,Bekas tambang,2.41149998
285,Danau/Situ,8528A,ID-KS.731,Noname 709,"Kec. 	Kintap	, 	Kab. 	Tanahlaut",Kalimantan Selatan,42.11,Kecil,Bekas tambang,2.10549998
286,Danau/Situ,8572A,ID-KS.521,Noname 499,"Kec. 	Pulausebuku	, 	Kab. 	Kotabaru",Kalimantan Selatan,33.79,Kecil,-,1.68949997
287,Danau/Situ,8577A,ID-KS.519,Noname 497,"Kec. 	Pulausebuku	, 	Kab. 	Kotabaru",Kalimantan Selatan,22.2,Kecil,-,1.11000001
288,Danau/Situ,8581A,ID-KS.6,Danau Caramin,"Kec. 	Landasan Ulin	, 		Kota Banjarbaru",Kalimantan Selatan,25.05,Kecil,-,1.25250006
289,Danau/Situ,8611A,ID-KS.531,Noname 509,"Kec. 	Kusan Hulu	, 	Kab. 	Tanahbumbu",Kalimantan Selatan,36.86,Kecil,-,1.84300005
290,Danau/Situ,8654A,ID-KS.699,Noname 677,"Kec. 	Mantewe	, 	Kab. 	Tanahbumbu",Kalimantan Selatan,30.55,Kecil,-,1.52750003
291,Danau/Situ,8894A,ID-KI.60,Noname 4,"Kec. 	Kuaro	, 	Kab. 	Paser",Kalimantan Timur,20.6,Kecil,-,1.02999997
292,Danau/Situ,8969A,ID-KI.47,Waduk Manggar,"Kec. 	Balikpapan Utara	, 		Kota Balikpapan",Kalimantan Timur,259.32,Kecil,Buatan,12.9659996
293,Danau/Situ,9004A,ID-KI.51,Waduk Samboja,"Kec. 	Samboja	, 	Kab. 	Kutai Kartanegara",Kalimantan Timur,167.18,Kecil,Buatan,8.35900021
294,Danau/Situ,9227A,ID-KI.390,Noname 334,"Kec. 	Loajanan	, 	Kab. 	Kutaikartanegara",Kalimantan Timur,23.0,Kecil,-,1.14999998
295,Danau/Situ,9229A,ID-KI.300,Noname 244,"Kec. 	Sanga-sanga	, 	Kab. 	Kutaikartanegara",Kalimantan Timur,39.53,Kecil,-,1.97650003
296,Danau/Situ,9258A,ID-KI.403,Noname 347,"Kec. 	Sanga-sanga	, 	Kab. 	Kutaikartanegara",Kalimantan Timur,39.36,Kecil,-,1.96800005
297,Danau/Situ,9732A,ID-KI.460,Noname 404,"Kec. 	Sungaikunjang	, 		Kota Samarinda",Kalimantan Timur,49.89,Kecil,-,2.49449992
298,Danau/Situ,9738A,ID-KI.513,Noname 457,"Kec. 	Tenggarong	, 	Kab. 	Kutaikartanegara",Kalimantan Timur,49.24,Kecil,-,2.46199989
299,Danau/Situ,9740A,ID-KI.517,Noname 461,"Kec. 	Loakulu	, 	Kab. 	Kutaikartanegara",Kalimantan Timur,97.1,Kecil,-,4.85500002
300,Danau/Situ,9781A,ID-KI.181,Noname 125,"Kec. 	Tenggarong	, 	Kab. 	Kutaikartanegara",Kalimantan Timur,26.75,Kecil,-,1.33749998
301,Danau/Situ,9850A,ID-KI.41,Danau Perian,"Kec. 	Muara Muntai	, 	Kab. 	Kutai Kartanegara",Kalimantan Timur,790.4,Kecil,-,39.52000046
302,Danau/Situ,9994A,ID-KI.40,Danau Batubumbun,"Kec. 	Muara Muntai	, 	Kab. 	Kutai Kartanegara",Kalimantan Timur,58.41,Kecil,-,2.92050004
303,Danau/Situ,10011A,ID-KI.160,Noname 104,"Kec. 	Tenggarong Seberang	, 	Kab. 	Kutaikartanegara",Kalimantan Timur,33.41,Kecil,-,1.67050004
304,Danau/Situ,10020A,ID-KI.48,Danau Jempang,"Kec. 	Jempang	, 	Kab. 	Kutai Barat",Kalimantan Timur,15959.6,Besar,Paparan Banjir,797.97998047
305,Danau/Situ,10065A,ID-KI.45,Danau Wis,"Kec. 	Muara Wis	, 	Kab. 	Kutai Kartanegara",Kalimantan Timur,1099.64,Sedang,-,54.98199844
306,Danau/Situ,10130A,ID-KI.433,Noname 377,"Kec. 	Tenggarong Seberang	, 	Kab. 	Kutaikartanegara",Kalimantan Timur,59.52,Kecil,-,2.97600007
307,Danau/Situ,10153A,ID-KI.437,Noname 381,"Kec. 	Tenggarong Seberang	, 	Kab. 	Kutaikartanegara",Kalimantan Timur,29.33,Kecil,-,1.46650004
308,Danau/Situ,10186A,ID-KI.5,Danau Barong,"Kec. 	Melak	, 	Kab. 	Kutai Barat",Kalimantan Timur,24.72,Kecil,-,1.23599994
309,Danau/Situ,10202A,ID-KI.35,Danau Melintang,"Kec. 	Muara Wis	, 	Kab. 	Kutai Kartanegara",Kalimantan Timur,7407.31,Sedang,Paparan Banjir,370.36599731
310,Danau/Situ,10209A,ID-KI.443,Noname 387,"Kec. 	Tenggarong Seberang	, 	Kab. 	Kutaikartanegara",Kalimantan Timur,20.16,Kecil,-,1.00800002
311,Danau/Situ,10256A,ID-KI.43,Danau Semayang,"Kec. 	Kota Bangun	, 	Kab. 	Kutai Kartanegara",Kalimantan Timur,10674.7,Besar,Paparan Banjir,533.73498535
312,Danau/Situ,10316A,ID-KI.42,Danau Rabok,"Kec. 	Konahan	, 	Kab. 	Kutai Kartanegara",Kalimantan Timur,579.46,Kecil,-,28.97299957
313,Danau/Situ,10339A,ID-KI.153,Noname 97,"Kec. 	Marangkayu	, 	Kab. 	Kutaikartanegara",Kalimantan Timur,40.02,Kecil,-,2.00099993
314,Danau/Situ,10345A,ID-KI.3,Danau Bahadaq,"Kec. 	Tering	, 	Kab. 	Kutai Barat",Kalimantan Timur,62.24,Kecil,Oxbow,3.11199999
315,Danau/Situ,10357A,ID-KI.10,Danau Siram,"Kec. 	Muara Kaman	, 	Kab. 	Kutai Kartanegara",Kalimantan Timur,1207.4,Sedang,-,60.36999893
316,Danau/Situ,10401A,ID-KI.11,Danau Ngayantua,"Kec. 	Muara Bengkal	, 	Kab. 	Kutai Timur",Kalimantan Timur,271.5,Kecil,-,13.57499981
317,Danau/Situ,10405A,ID-KI.46,Danau Padamapi,"Kec. 	Muara Bengkal	, 	Kab. 	Kutai Timur",Kalimantan Timur,446.31,Kecil,-,22.31550026
318,Danau Tapal Kuda,10482A,ID-KI.4,Danau Kelumpang,"Kec. 	Mookmanaar Bulatn	, 	Kab. 	Kutai Barat",Kalimantan Timur,94.93,Kecil,Oxbow,4.74650002
319,Danau Tapal Kuda,10506A,ID-KI.38,Danau Kliring,"Kec. 	Muara Ancalong	, 	Kab. 	Kutai Timur",Kalimantan Timur,20.66,Kecil,Oxbow,1.03299999
320,Danau/Situ,10509A,ID-KI.1,Danau Belibis,"Kec. Bongan, Kab. Kutai Barat",Kalimantan Timur,66.81,Kecil,-,3.34050012
321,Danau/Situ,10648A,ID-KI.474,Noname 418,"Kec. 	Sangatta Utara	, 	Kab. 	Kutai Timur",Kalimantan Timur,26.55,Kecil,-,1.32749999
322,Danau/Situ,10863A,ID-KB.34,Danau Bekuan,"Kec. 	Selimbau	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,1320.21,Sedang,Paparan Banjir,66.01049805
323,Danau/Situ,10875A,ID-KB.124,Danau Lidang,"Kec. 	Jongkong	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,88.79,Kecil,Oxbow,4.43949986
324,Danau/Situ,10878A,ID-KB.126,Noname 87,"Kec. 	Jongkong	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,27.44,Kecil,Oxbow,1.37199998
325,Danau/Situ,10880A,ID-KB.123,Danau Undang,"Kec. 	Jongkong	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,52.08,Kecil,Oxbow,2.60400009
326,Danau/Situ,10883A,ID-KB.105,Danau Basau Laut,"Kec. 	Jongkong	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,49.64,Kecil,Oxbow,2.48200011
327,Danau/Situ,10930A,ID-KB.103,Noname 64,"Kec. 	Jongkong	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,69.56,Kecil,Oxbow,3.47799993
328,Danau/Situ,10933A,ID-KB.30,Danau Selegan,"Kec. 	Jongkong	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,176.67,Kecil,Paparan Banjir,8.83349991
329,Danau/Situ,10937A,ID-KB.106,Danau Kandungsuli,"Kec. 	Selimbau	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,90.47,Kecil,Oxbow,4.52349997
330,Danau/Situ,10940A,ID-KB.33,Danau Belida,"Kec. 	Bunut Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,196.49,Kecil,Paparan Banjir,9.82450008
331,Danau/Situ,10944A,ID-KB.104,Danau Lebardaun,"Kec. 	Jongkong	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,21.96,Kecil,-,1.09800005
332,Danau/Situ,10946A,ID-KB.107,Danau Aduk,"Kec. 	Bunut Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,45.38,Kecil,Oxbow,2.26900005
333,Danau/Situ,10971A,ID-KB.125,Danau Kemayuh,"Kec. 	Bunut Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,37.61,Kecil,Oxbow,1.88049996
334,Danau/Situ,10973A,ID-KB.102,Danau Empangau,"Kec. 	Bunut Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,107.79,Kecil,Oxbow,5.38950014
335,Danau/Situ,10977A,ID-KB.32,Danau Sabit,"Kec. 	Bunut Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,123.03,Kecil,Paparan Banjir,6.15150023
336,Danau/Situ,10978A,ID-KB.181,Danau Sunggung,"Kec. 	Bunut Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,113.78,Kecil,Oxbow,5.68900013
337,Danau/Situ,11000A,ID-KB.169,Noname 130,"Kec. 	Bika	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,86.7,Kecil,Oxbow,4.33500004
338,Danau/Situ,11004A,ID-KB.170,Noname 131,"Kec. 	Bika	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,20.81,Kecil,Oxbow,1.04050004
339,Danau/Situ,11006A,ID-KB.163,Noname 124,"Kec. 	Embaloh Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,33.41,Kecil,Oxbow,1.67050004
340,Danau/Situ,11018A,ID-KB.172,Noname 133,"Kec. 	Putussibau Utara	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,39.5,Kecil,Oxbow,1.97500002
341,Danau/Situ,12684A,ID-KB.12,Danau Marsedan,"Kec. 	Suhaid	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,44.37,Kecil,Paparan Banjir,2.2184999
342,Danau/Situ,12685A,ID-KB.10,Danau Benawa,"Kec. 	Semitau	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,149.17,Kecil,Paparan Banjir,7.45849991
343,Danau/Situ,12688A,ID-KB.1,Danau Sebedang,"Kec. 	Sebawi	, 	Kab. 	Sambas",Kalimantan Barat,77.41,Kecil,-,3.87050009
344,Danau/Situ,12709A,ID-KB.6,Danau Serantangan,"Kec. Singakawang Selatan, Kota Singkawang",Kalimantan Barat,181.8,Kecil,Paparan Banjir,9.09000015
345,Danau/Situ,13001A,ID-KB.38,Danau Selatai,"Kec. 	Tayan Hilir	, 	Kab. 	Sanggau",Kalimantan Barat,199.59,Kecil,-,9.97949982
346,Danau/Situ,13002A,ID-KB.18,Danau Lait Indah,"Kec. 	Tayan Hilir	, 	Kab. 	Sanggau",Kalimantan Barat,628.12,Kecil,-,31.40600014
347,Danau/Situ,13005A,ID-KB.20,Danau Terentang,"Kec. 	Tayan Hilir	, 	Kab. 	Sanggau",Kalimantan Barat,251.99,Kecil,-,12.5994997
348,Danau/Situ,13141A,ID-KT.163,Noname 84,"Kec. 	Kamipang	, 	Kab. 	Katingan",Kalimantan Tengah,28.56,Kecil,-,1.42799997
349,Danau/Situ,13142A,ID-KT.162,Noname 83,"Kec. 	Kamipang	, 	Kab. 	Katingan",Kalimantan Tengah,46.19,Kecil,Oxbow,2.30949998
350,Danau/Situ,13145A,ID-KT.252,Noname 173,"Kec. 	Jekan Raya	, 	Kab. 	Kota Palangkaraya",Kalimantan Tengah,33.93,Kecil,-,1.69649994
351,Danau/Situ,13167A,ID-KT.218,Noname 139,"Kec. 	Bukit Batu	, 	Kab. 	Kota Palangkaraya",Kalimantan Tengah,27.59,Kecil,-,1.37950003
352,Danau/Situ,13179A,ID-KT.209,Noname 130,"Kec. 	Kahayan Tengah	, 	Kab. 	Pulang Pisau",Kalimantan Tengah,24.1,Kecil,Oxbow,1.20500004
353,Danau/Situ,13209A,ID-KT.102,Noname 23,"Kec. 	Pahandut	, 	Kab. 	Kota Palangkaraya",Kalimantan Tengah,34.85,Kecil,-,1.74249995
354,Danau/Situ,13218A,ID-KT.182,Noname 103,"Kec. 	Timpah	, 	Kab. 	Kapuas",Kalimantan Tengah,22.33,Kecil,Oxbow,1.11650002
355,Danau/Situ,13223A,ID-KT.18,Danau Raya,"Kec. 	Dusun Selatan	, 	Kab. 	Barito Selatan",Kalimantan Tengah,259.31,Kecil,-,12.96549988
356,Danau/Situ,13225A,ID-KT.64,Danau Tentikoi,"Kec. 	Dusun Selatan	, 	Kab. 	Barito Selatan",Kalimantan Tengah,30.86,Kecil,-,1.54299998
357,Danau/Situ,13226A,ID-KT.19,Danau Medara,"Kec. 	Dusun Selatan	, 	Kab. 	Barito Selatan",Kalimantan Tengah,194.89,Kecil,-,9.74450016
358,Danau/Situ,13227A,ID-KT.174,Noname 95,"Kec. 	Timpah	, 	Kab. 	Kapuas",Kalimantan Tengah,31.11,Kecil,Oxbow,1.55550003
359,Danau/Situ,13235A,ID-KS.932,Noname 910,"Kec. 	Tanta	, 	Kab. 	Tabalong",Kalimantan Selatan,52.15,Kecil,-,2.60750008
360,Danau/Situ,13293A,ID-KS.931,Noname 909,"Kec. 	Murungpundak	, 	Kab. 	Tabalong",Kalimantan Selatan,41.17,Kecil,Oxbow,2.05850005
361,Danau/Situ,13366A,ID-KT.430,Noname 351,"Kec. 	Patangkeptutui	, 	Kab. 	Barito Timur",Kalimantan Tengah,43.27,Kecil,-,2.16350007
362,Danau/Situ,13393A,ID-KT.21,Danau Palui,"Kec. 	Dusun Selatan	, 	Kab. 	Barito Selatan",Kalimantan Tengah,202.69,Kecil,Oxbow,10.13449955
363,Danau/Situ,13394A,ID-KT.20,Danau Masura,"Kec. 	Dusun Selatan	, 	Kab. 	Barito Selatan",Kalimantan Tengah,102.51,Kecil,-,5.1255002
364,Danau/Situ,13395A,ID-KT.228,Noname 149,"Kec. 	Dusun Selatan	, 	Kab. 	Barito Selatan",Kalimantan Tengah,188.01,Kecil,-,9.4005003
365,Danau/Situ,13396A,ID-KT.81,Noname 2,"Kec. 	Dusun Selatan	, 	Kab. 	Barito Selatan",Kalimantan Tengah,32.2,Kecil,Oxbow,1.61000001
366,Danau/Situ,13397A,ID-KT.80,Noname 1,"Kec. 	Dusun Selatan	, 	Kab. 	Barito Selatan",Kalimantan Tengah,111.29,Kecil,Oxbow,5.56449986
367,Danau/Situ,13400A,ID-KT.238,Noname 159,"Kec. 	Karaukuala	, 	Kab. 	Barito Selatan",Kalimantan Tengah,74.35,Kecil,-,3.71749997
368,Danau/Situ,13402A,ID-KT.227,Noname 148,"Kec. 	Karaukuala	, 	Kab. 	Barito Selatan",Kalimantan Tengah,86.12,Kecil,-,4.30600023
369,Danau/Situ,13412A,ID-KT.33,Danau Gatel / Danau Gatal Kiri,"Kec. 	Lalang	, 	Kab. 	Kotawaringin Barat",Kalimantan Tengah,194.28,Kecil,-,9.71399975
370,Danau/Situ,13418A,ID-KT.58,Danau Asam,"Kec. 	Kota Waringin Lama	, 	Kab. 	Kotawaringin Barat",Kalimantan Tengah,69.35,Kecil,-,3.46749997
371,Danau/Situ,13419A,ID-KB.2,Danau Belidak,"Kec. 	Kendawangan	, 	Kab. 	Ketapang",Kalimantan Barat,238.76,Kecil,-,11.93799973
372,Danau/Situ,13420A,ID-KB.3,Danau Gelinggang,"Kec. 	Kendawangan	, 	Kab. 	Ketapang",Kalimantan Barat,1123.12,Sedang,-,56.15599823
373,Danau/Situ,13422A,ID-KT.32,Danau Masorean,"Kec. 	Kotawaringin Lama	, 	Kab. 	Kotawaringin Barat",Kalimantan Tengah,26.3,Kecil,-,1.31500006
374,Danau/Situ,13423A,ID-KT.35,Danau Papudak,"Kec. 	Danau Sembuluh	, 	Kab. 	Seruyan",Kalimantan Tengah,104.18,Kecil,-,5.20900011
375,Danau/Situ,13438A,ID-KT.36,Danau Bakung,"Kec. 	Seruyan Hilir	, 	Kab. 	Seruyan",Kalimantan Tengah,21.72,Kecil,-,1.08599997
376,Danau/Situ,13464A,ID-KT.39,Danau Sarai,"Kec. 	Baampah	, 	Kab. 	Kotawaringin Timur",Kalimantan Tengah,45.56,Kecil,-,2.27800012
377,Danau/Situ,13468A,ID-KT.34,Danau Seluluk,"Kec. 	Danau Seluluk	, 	Kab. 	Seruyan",Kalimantan Tengah,196.31,Kecil,-,9.81550026
378,Danau/Situ,13469A,ID-KT.78,Danau Sembuluh,"Kec. 	Seruyan	, 	Kab. 	Seruyan",Kalimantan Tengah,3571.85,Sedang,Paparan Banjir,178.59199524
379,Danau/Situ,13572A,ID-KT.47,Danau Sungaisendok,"Kec. 	Kayu Bulan	, 	Kab. 	Kapuas",Kalimantan Tengah,26.95,Kecil,Oxbow,1.34749997
380,Danau/Situ,13581A,ID-KT.66,Danau Lawang,"Kec. 	Kapuas Tengah	, 	Kab. 	Kapuas",Kalimantan Tengah,93.4,Kecil,-,4.67000008
381,Danau/Situ,13582A,ID-KT.65,Danau Getas,"Kec. 	Kapuas Tengah	, 	Kab. 	Kapuas",Kalimantan Tengah,88.86,Kecil,Oxbow,4.44299984
382,Danau/Situ,13585A,ID-KT.233,Noname 154,"Kec. 	Dusun Utara	, 	Kab. 	Barito Selatan",Kalimantan Tengah,26.26,Kecil,-,1.31299996
383,Danau/Situ,13774A,ID-KT.10,Danau Batarik,"Kec. 	Pujon	, 	Kab. 	Kapuas",Kalimantan Tengah,47.7,Kecil,Oxbow,2.38499999
384,Danau/Situ,13778A,ID-KT.46,Danau Kapuasman,"Kec. 	Kayu Bulan	, 	Kab. 	Kapuas",Kalimantan Tengah,89.03,Kecil,-,4.45149994
385,Danau/Situ,13779A,ID-KT.1,Danau Lelek,"Kec. Dusun Utara, Kab. Barito Selatan",Kalimantan Tengah,103.52,Kecil,Oxbow,5.17600012
386,Danau/Situ,13781A,ID-KT.2,Danau Mentarem,"Kec. 	Dusun Utara	, 	Kab. 	Barito Selatan",Kalimantan Tengah,21.84,Kecil,-,1.09200001
387,Danau/Situ,13782A,ID-KT.9,Danau Muara,"Kec. 	Teweh Selatan	, 	Kab. 	Barito Utara",Kalimantan Tengah,22.75,Kecil,-,1.13750005
388,Danau/Situ,13783A,ID-KT.11,Danau Pilau,"Kec. 	Pujon	, 	Kab. 	Kapuas",Kalimantan Tengah,23.02,Kecil,Oxbow,1.15100002
389,Danau/Situ,13785A,ID-KT.4,Danau Telang,"Kec. 	Dusun Utara	, 	Kab. 	Barito Selatan",Kalimantan Tengah,57.91,Kecil,-,2.89549994
390,Danau/Situ,13800A,ID-KI.49,Danau Kakaban,"Kec. 	Pulau Kakaban	, 	Kab. 	Berau",Kalimantan Timur,502.49,Kecil,Laguna,25.12450027
391,Danau/Situ,13809A,ID-KB.24,Taman Nasional Danau Sentarum,"Kec. 	Nanga Leboyan	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,9967.2,Sedang,Paparan Banjir,498.35998535
392,Danau/Situ,13811A,ID-KB.37,Danau Ara,"Kec. 	Batang Lupar	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,7618.16,Sedang,Paparan Banjir,380.9079895
393,Danau/Situ,13818A,ID-KB.127,Noname 88,"Kec. 	Selimbau	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,38.89,Kecil,Oxbow,1.94449997
394,Danau/Situ,13821A,ID-KB.165,Noname 126,"Kec. 	Selimbau	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,42.84,Kecil,Oxbow,2.14199996
395,Danau/Situ,13824A,ID-KB.120,Noname 81,"Kec. 	Selimbau	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,117.66,Kecil,Oxbow,5.8829999
396,Danau/Situ,13830A,ID-KB.167,Noname 128,"Kec. 	Selimbau	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,48.19,Kecil,Oxbow,2.40949988
397,Danau/Situ,13833A,ID-KB.122,Noname 83,"Kec. 	Selimbau	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,26.27,Kecil,Oxbow,1.31350005
398,Danau/Situ,13835A,ID-KB.128,Noname 89,"Kec. 	Selimbau	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,69.46,Kecil,Oxbow,3.47300005
399,Danau/Situ,13848A,ID-KB.155,Noname 116,"Kec. 	Bunut Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,116.18,Kecil,Oxbow,5.80900002
400,Danau/Situ,13851A,ID-KB.53,Noname 14,"Kec. 	Bunut Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,26.84,Kecil,Oxbow,1.34200001
401,Danau/Situ,13868A,ID-KB.159,Noname 120,"Kec. 	Batanglupar	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,204.97,Kecil,-,10.24849987
402,Danau/Situ,13871A,ID-KB.157,Noname 118,"Kec. 	Batanglupar	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,24.79,Kecil,-,1.23950005
403,Danau/Situ,13880A,ID-KB.158,Noname 119,"Kec. 	Batanglupar	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,45.45,Kecil,Oxbow,2.27250004
404,Danau/Situ,13883A,ID-KB.31,Danau Genali,"Kec. 	Jongkong	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,1030.57,Sedang,Paparan Banjir,51.5284996
405,Danau/Situ,13884A,ID-KB.134,Noname 95,"Kec. 	Batanglupar	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,39.79,Kecil,-,1.98950005
406,Danau/Situ,13888A,ID-KB.28,Danau Siawan,"Kec. 	Bunut Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,999.05,Kecil,Paparan Banjir,49.95249939
407,Danau/Situ,13889A,ID-KB.116,Noname 77,"Kec. 	Bika	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,36.54,Kecil,Oxbow,1.82700002
408,Danau/Situ,13891A,ID-KB.29,Danau Pantu,"Kec. 	Bunut Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,276.68,Kecil,Paparan Banjir,13.83399963
409,Danau/Situ,13897A,ID-KB.13,Danau Sebadin,"Kec. 	Nanga Badau	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,124.23,Kecil,Paparan Banjir,6.21150017
410,Danau/Situ,13931A,ID-JI.80,Telaga Sarangan,"Kec. Plaosan, Kab. Magetan",Jawa Timur,26.85,Kecil,Vulkanik,1.34249997
411,Danau/Situ,13937A,ID-JT.128,Waduk Tandon,"Kec. Selogiri, Kab. Wonogiri",Jawa Tengah,33.76,Kecil,Buatan,1.68799996
412,Danau/Situ,14042A,ID-JT.104,Waduk Ketro,"Kec. Tanon, Kab. Sragen",Jawa Tengah,37.59,Kecil,Buatan,1.87950003
413,Danau/Situ,14043A,ID-JT.105,Waduk Lalung,"Kec. Karanganyar, Kab. Karanganyar",Jawa Tengah,60.56,Kecil,Buatan,3.02800012
414,Danau/Situ,14045A,ID-JT.110,Waduk Mulur,"Kec. Bendosaro, Kab. Sukoharjo",Jawa Tengah,94.24,Kecil,Buatan,4.71199989
415,Danau/Situ,14047A,ID-JT.112,Waduk Ngancar,"Kec. Batuwarno, Kab. Wonogiri",Jawa Tengah,37.71,Kecil,Buatan,1.88549995
416,Danau/Situ,14058A,ID-JT.130,Waduk Tirtomarto,"Kec. Karanganyar, Kab. Karanganyar",Jawa Tengah,59.7,Kecil,Buatan,2.9849999
417,Danau/Situ,14060A,ID-JT.9,Danau Rawa Pening,"Kec. Banyubiru, Kab. Semarang",Jawa Tengah,1557.3,Sedang,Tektonik,77.86499786
418,Danau/Situ,14521A,ID-JI.196,Waduk Laor,"Kec. Sumberpucung dan Kromengan, Kab. Malang",Jawa Timur,299.6,Kecil,Buatan,14.97999954
419,Danau/Situ,14523A,ID-JI.187,Waduk Karangkates,"Kec. Kalipare, Pagak, dan Sumberpucung, Kab. Malang",Jawa Timur,1357.2,Sedang,Buatan,67.86000061
420,Danau/Situ,14545A,ID-JI.49,Ranu Kumbolo,"Kec. Senduro, Kab. Lumajang",Jawa Timur,26.5,Kecil,Vulkanik,1.32500005
421,Danau/Situ,14591A,ID-JI.52,Ranu Pakis,"Kec. Klakah, Kab. Lumajang",Jawa Timur,48.14,Kecil,Vulkanik,2.40700006
422,Danau/Situ,14592A,ID-JI.47,Ranu Klakah,"Kec. Klakah, Kab. Lumajang",Jawa Timur,35.82,Kecil,Vulkanik,1.79100001
423,Danau/Situ,14596A,ID-JI.56,Ranu Segaran,"Kec. Tiris , Kab. Probolinggo",Jawa Timur,25.14,Kecil,Vulkanik,1.25699997
424,Danau/Situ,14600A,ID-JI.23,Danau Ranu Agung,"Kec. Tiris , Kab. Probolinggo",Jawa Timur,21.22,Kecil,Vulkanik,1.06099999
425,Danau/Situ,14606A,ID-JI.48,Ranu Klindungan,"Kec. Grati, Kab. Pasuruan",Jawa Timur,192.48,Kecil,Vulkanik,9.6239996
426,Danau/Situ,14766A,ID-JI.159,Waduk Bunder,"Kec. Kebomas, Kab. Gresik",Jawa Timur,57.65,Kecil,Buatan,2.88249993
427,Danau/Situ,14772A,ID-JI.169,Waduk Gedangkulut,"Kec. Duduksampeyan, Kab. Gresik",Jawa Timur,64.01,Kecil,Buatan,3.20050001
428,Danau/Situ,14815A,ID-JI.22,Danau Ngipik,"Kec. Kebomas, Kab. Gresik",Jawa Timur,21.8,Kecil,Buatan,1.09000003
429,Danau/Situ,14833A,ID-JI.369,Noname 67,"Kec. Krembangan, Kota Surabaya",Jawa Timur,80.05,Kecil,Buatan,4.00250006
430,Danau/Situ,14936A,ID-JI.1,Bendung Klampis,"Kec. Kedungdung, Kab. Sampang",Jawa Timur,147.29,Kecil,Buatan,7.36450005
431,Danau/Situ,15116A,ID-JI.209,Waduk Notopuro,"Kec. Saradan, Kab. Madiun",Jawa Timur,57.61,Kecil,Buatan,2.88050008
432,Danau/Situ,15117A,ID-JI.189,Waduk Kedungbendo,"Kec. Padas, Kab. Ngawi",Jawa Timur,53.32,Kecil,Buatan,2.66599989
433,Danau/Situ,15120A,ID-JI.227,Waduk Saradan,"Kec. Saradan, Kab. Madiun",Jawa Timur,46.81,Kecil,Buatan,2.34050012
434,Danau/Situ,15122A,ID-JI.164,Waduk Dawuhan,"Kec. Wonoasri, Kab. Madiun",Jawa Timur,49.35,Kecil,Buatan,2.46749997
435,Danau/Situ,15126A,ID-JI.78,Telaga Ngebel,"Kec. Ngebel, Kab. Ponorogo",Jawa Timur,148.23,Kecil,Vulkanik,7.41149998
436,Danau/Situ,15520A,ID-JI.355,Noname 53,"Kec. Benjeng, Kab. Gresik",Jawa Timur,25.28,Kecil,Buatan,1.26400006
437,Danau/Situ,15712A,ID-JB.195,Situ Gede,"Kec. Mangkubumi, Kota Tasikmalaya",Jawa Barat,46.85,Kecil,Buatan,2.34249997
