"objectid_1,""namobj"",""jnspls"",""thnopr"",""regpln"",""srs_id"",""longitude"",""latitude"""
"44,""PLTD Ambeua (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""123.75345670700005"",""-5.504806501999951"""
"45,""PLTD Ambeua (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""123.75347926300003"",""-5.504747344999942"""
"46,""PLTD Binongko (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""124.02509993900003"",""-5.8997729379999555"""
"47,""PLTD Binongko (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""124.02509713000006"",""-5.899781265999934"""
"48,""PLTD Waha Tomia (Caterpillar)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""123.90440075800007"",""-5.723904116999961"""
"49,""PLTD Waha Tomia (Mitsubishi)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""123.90437283800009"",""-5.7239509969999744"""
"50,""PLTD Sikeli (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""121.79911202500011"",""-5.265732198999956"""
"51,""PLTD Sikeli (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""121.79911781200008"",""-5.265710765999927"""
"52,""PLTD Sikeli (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""121.7991059200001"",""-5.265707799999973"""
"53,""PLTD Sawai Baru (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.91065747100004"",""0.8832310640000287"""
"54,""PLTD Sawai Baru (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.91070038600003"",""0.8831881540000381"""
"55,""PLTD Sawai Baru (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.91076476"",""0.8833061570000496"""
"56,""PLTD Sawai Baru (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.91053945300007"",""0.8833276120000733"""
"57,""PLTD Sawai Baru (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.91073257300002"",""0.8832954300000324"""
