objectid_1,namobj,jnspls,thnopr,regpln,srs_id,longitude,latitude
753,PLTD Cempaka Putih,PLTD,1996,Kalimantan,4326,110.05670000000003,1.073056000000065
754,PLTD Lemukutan,PLTD,2001,Kalimantan,4326,108.71240000000006,0.7596267000000694
755,PLTD Area Singkawang,PLTD,0,Kalimantan,4326,108.98030000000006,0.9115277780000497
756,PLTS Temajuk,PLTS,2012,Kalimantan,4326,109.59722000000005,2.0069440000000327
757,PLTS Sidding,PLTS,2013,Kalimantan,4326,110.07051289900005,1.2517966820000197
758,PLTD Temajuk,PLTD,2015,Kalimantan,4326,109.60170000000005,1.9965400000000386
759,PLTMH Serawak Energi BHD Sajingan (B),PLTMH,0,Kalimantan,4326,109.67974440000006,1.6086777780000716
760,PLTD Pulau Limbung,PLTD,1997,Kalimantan,4326,109.85915228600004,-0.26786951799994085
761,PLTS Pulau Limbung,PLTS,0,Kalimantan,4326,109.85900000000004,-0.2678599999999278
762,PLTD Tanjung Saleh,PLTD,1999,Kalimantan,4326,109.14800000000008,-0.10828999999995403
763,PLTD Sepuk Laut,PLTD,2014,Kalimantan,4326,109.07800000000009,-0.22243999999994912
764,PLTD Ngabang,PLTD,0,Kalimantan,4326,109.86400000000003,0.3863805560000628
765,PLTD Padang Tikar,PLTD,0,Kalimantan,4326,109.27185000000009,0.6817666600000507
766,PLTD Batu Ampar,PLTD,0,Kalimantan,4326,109.53740000000005,0.7486333330000434
767,PLTBm PT Harjohn Timber,PLTBm,0,Kalimantan,4326,109.44663700000007,-0.1787859999999455
768,PLTD PT. Sewatama Ngabang,PLTD,0,Kalimantan,4326,109.86413325000007,0.3863710380000498
769,PLTD Semboja,PLTD,1996,Kalimantan,4326,110.56033800000006,0.13450196400003733
770,PLTD Teraju,PLTD,1989,Kalimantan,4326,110.10450000000009,-0.23002999999994245
771,PLTD Kuala Buayan,PLTD,1993,Kalimantan,4326,110.38166700000005,0.10586700000004612
772,PLTD Balai Karangan,PLTD,1995,Kalimantan,4326,110.82776700000005,0.43515000000002146
773,PLTD Sekadau,PLTD,1997,Kalimantan,4326,110.88980000000004,0.021140000000059445
774,PLTD Belitang,PLTD,1997,Kalimantan,4326,111.23962830000005,0.13119330000006357
775,PLTD Seberang Kapuas,PLTD,1987,Kalimantan,4326,111.15213000000006,0.10576700000007122
776,PLTD Balai Sepuak,PLTD,1980,Kalimantan,4326,111.20626300000004,0.4420630000000756
777,PLTD Menyurai,PLTD,1986,Kalimantan,4326,111.51050640000005,0.08551560000006475
778,PLTD Nanga Silat,PLTD,1979,Kalimantan,4326,111.78762000000006,0.34330700000003844
779,PLTD Senaning,PLTD,1987,Kalimantan,4326,111.03151670000005,0.9076166670000703
